        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state,
11:44:49.406,    284508,    -0.167,     0.024,    -0.019,     0.170,    -0.622,    -8.666,     4.493,     9.781,     0.427,     0.305,     0.916,     1.055,    0.8731,   -0.4720,    0.0739,   -0.0968,   -57.041,     2.148,   -13.826,     0.000,     0.000,     0.000,         0, idle,
11:44:49.406,    284512,    -0.177,     0.043,    -0.038,     0.186,    -0.632,    -8.647,     4.474,     9.756,     0.305,     0.000,     0.854,     0.907,    0.8732,   -0.4719,    0.0739,   -0.0968,   -57.041,     2.159,   -13.826,     0.000,     0.000,     0.000,         0, idle,
11:44:49.414,    284516,    -0.177,     0.043,    -0.038,     0.186,    -0.636,    -8.628,     4.460,     9.733,     0.122,    -0.366,     0.793,     0.882,    0.8732,   -0.4719,    0.0739,   -0.0968,   -57.041,     2.159,   -13.826,     0.000,     0.000,     0.000,         0, idle,
11:44:49.414,    284520,    -0.182,     0.057,    -0.053,     0.198,    -0.636,    -8.628,     4.460,     9.733,     0.122,    -0.366,     0.793,     0.882,    0.8732,   -0.4719,    0.0739,   -0.0967,   -57.041,     2.164,   -13.821,     0.000,     0.000,     0.000,         0, idle,
11:44:49.422,    284524,    -0.167,     0.072,    -0.067,     0.194,    -0.622,    -8.613,     4.445,     9.713,     0.000,    -0.732,     0.732,     1.036,    0.8732,   -0.4719,    0.0739,   -0.0967,   -57.041,     2.164,   -13.815,     0.000,     0.000,     0.000,         0, idle,
11:44:49.426,    284528,    -0.172,     0.072,    -0.086,     0.206,    -0.627,    -8.613,     4.426,     9.704,    -0.183,    -0.916,     0.671,     1.150,    0.8732,   -0.4719,    0.0739,   -0.0966,   -57.041,     2.170,   -13.810,     0.000,     0.000,     0.000,         0, idle,
11:44:49.430,    284532,    -0.167,     0.057,    -0.086,     0.197,    -0.622,    -8.632,     4.426,     9.721,    -0.305,    -1.099,     0.610,     1.293,    0.8732,   -0.4720,    0.0739,   -0.0966,   -57.047,     2.175,   -13.804,     0.000,     0.000,     0.000,         0, idle,
11:44:49.434,    284536,    -0.167,     0.057,    -0.086,     0.197,    -0.617,    -8.666,     4.441,     9.757,    -0.427,    -1.282,     0.427,     1.417,    0.8732,   -0.4720,    0.0739,   -0.0966,   -57.047,     2.175,   -13.804,     0.000,     0.000,     0.000,         0, idle,
11:44:49.438,    284540,    -0.163,     0.024,    -0.072,     0.179,    -0.617,    -8.666,     4.441,     9.757,    -0.427,    -1.282,     0.427,     1.417,    0.8732,   -0.4720,    0.0739,   -0.0965,   -57.047,     2.175,   -13.799,     0.000,     0.000,     0.000,         0, idle,
11:44:49.442,    284544,    -0.201,     0.024,    -0.038,     0.206,    -0.656,    -8.666,     4.474,     9.775,    -0.427,    -1.343,     0.427,     1.472,    0.8732,   -0.4720,    0.0739,   -0.0964,   -57.052,     2.175,   -13.788,     0.000,     0.000,     0.000,         0, idle,
11:44:49.442,    284548,    -0.225,     0.024,    -0.010,     0.226,    -0.684,    -8.666,     4.503,     9.790,    -0.244,    -1.343,     0.732,     1.549,    0.8732,   -0.4720,    0.0739,   -0.0964,   -57.052,     2.181,   -13.782,     0.000,     0.000,     0.000,         0, idle,
11:44:49.450,    284552,    -0.244,     0.005,     0.005,     0.244,    -0.703,    -8.685,     4.522,     9.817,    -0.244,    -1.404,     1.099,     1.799,    0.8732,   -0.4720,    0.0739,   -0.0963,   -57.052,     2.186,   -13.771,     0.000,     0.000,     0.000,         0, idle,
11:44:49.450,    284556,    -0.244,     0.005,     0.005,     0.244,    -0.732,    -8.695,     4.527,     9.830,    -0.305,    -1.343,     1.343,     1.923,    0.8732,   -0.4720,    0.0739,   -0.0963,   -57.052,     2.186,   -13.771,     0.000,     0.000,     0.000,         0, idle,
11:44:49.458,    284560,    -0.273,     0.000,     0.014,     0.273,    -0.732,    -8.695,     4.527,     9.830,    -0.305,    -1.343,     1.343,     1.923,    0.8732,   -0.4720,    0.0739,   -0.0962,   -57.052,     2.192,   -13.766,     0.000,     0.000,     0.000,         0, idle,
11:44:49.458,    284564,    -0.263,    -0.024,     0.019,     0.265,    -0.723,    -8.719,     4.532,     9.852,    -0.244,    -1.221,     1.587,     2.017,    0.8732,   -0.4720,    0.0739,   -0.0961,   -57.052,     2.203,   -13.755,     0.000,     0.000,     0.000,         0, idle,
11:44:49.466,    284568,    -0.230,    -0.043,     0.029,     0.235,    -0.694,    -8.738,     4.541,     9.872,    -0.122,    -1.038,     1.831,     2.108,    0.8732,   -0.4720,    0.0740,   -0.0960,   -57.052,     2.208,   -13.744,     0.000,     0.000,     0.000,         0, idle,
11:44:49.470,    284572,    -0.201,    -0.033,     0.048,     0.209,    -0.665,    -8.728,     4.560,     9.870,     0.000,    -0.854,     1.770,     1.965,    0.8732,   -0.4720,    0.0740,   -0.0959,   -57.052,     2.219,   -13.738,     0.000,     0.000,     0.000,         0, idle,
