        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state,
11:43:09.016,    184128,     0.010,     0.019,    -0.067,     0.070,     0.632,    -1.263,     9.628,     9.731,    -0.427,     0.244,    -0.610,     0.784,    0.9987,   -0.0193,   -0.0388,   -0.0261,    -2.098,    -4.510,    -2.911,     0.000,     0.000,     0.000,         0, idle,
11:43:09.024,    184132,     0.005,     0.029,    -0.062,     0.069,     0.627,    -1.254,     9.633,     9.734,    -0.366,     0.183,    -0.610,     0.735,    0.9987,   -0.0193,   -0.0388,   -0.0261,    -2.104,    -4.510,    -2.917,     0.000,     0.000,     0.000,         0, idle,
11:43:09.028,    184136,     0.005,     0.029,    -0.062,     0.069,     0.613,    -1.244,     9.633,     9.732,    -0.305,     0.244,    -0.488,     0.625,    0.9987,   -0.0193,   -0.0388,   -0.0261,    -2.104,    -4.510,    -2.917,     0.000,     0.000,     0.000,         0, idle,
11:43:09.032,    184140,    -0.005,     0.038,    -0.062,     0.073,     0.613,    -1.244,     9.633,     9.732,    -0.305,     0.244,    -0.488,     0.625,    0.9987,   -0.0193,   -0.0388,   -0.0262,    -2.104,    -4.504,    -2.917,     0.000,     0.000,     0.000,         0, idle,
11:43:09.036,    184144,    -0.010,     0.043,    -0.062,     0.076,     0.608,    -1.239,     9.633,     9.731,    -0.305,     0.305,    -0.366,     0.566,    0.9987,   -0.0193,   -0.0388,   -0.0262,    -2.104,    -4.504,    -2.917,     0.000,     0.000,     0.000,         0, idle,
11:43:09.040,    184148,    -0.005,     0.043,    -0.067,     0.080,     0.613,    -1.239,     9.628,     9.726,    -0.427,     0.244,    -0.366,     0.613,    0.9987,   -0.0193,   -0.0388,   -0.0262,    -2.104,    -4.504,    -2.922,     0.000,     0.000,     0.000,         0, idle,
11:43:09.044,    184152,     0.000,     0.024,    -0.067,     0.071,     0.622,    -1.258,     9.628,     9.730,    -0.549,     0.183,    -0.305,     0.655,    0.9987,   -0.0194,   -0.0388,   -0.0262,    -2.109,    -4.504,    -2.922,     0.000,     0.000,     0.000,         0, idle,
11:43:09.044,    184156,     0.000,     0.024,    -0.067,     0.071,     0.646,    -1.268,     9.628,     9.732,    -0.549,     0.183,    -0.183,     0.607,    0.9987,   -0.0194,   -0.0388,   -0.0262,    -2.109,    -4.504,    -2.922,     0.000,     0.000,     0.000,         0, idle,
11:43:09.052,    184160,     0.024,     0.014,    -0.067,     0.073,     0.646,    -1.268,     9.628,     9.732,    -0.549,     0.183,    -0.183,     0.607,    0.9987,   -0.0194,   -0.0388,   -0.0262,    -2.109,    -4.504,    -2.922,     0.000,     0.000,     0.000,         0, idle,
11:43:09.052,    184164,     0.029,     0.005,    -0.057,     0.064,     0.651,    -1.278,     9.637,     9.743,    -0.549,     0.244,    -0.183,     0.628,    0.9987,   -0.0194,   -0.0388,   -0.0262,    -2.115,    -4.504,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.060,    184168,     0.024,     0.005,    -0.053,     0.058,     0.646,    -1.282,     9.642,     9.748,    -0.549,     0.244,    -0.122,     0.613,    0.9987,   -0.0195,   -0.0388,   -0.0262,    -2.115,    -4.499,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.060,    184172,     0.019,     0.010,    -0.043,     0.048,     0.641,    -1.278,     9.652,     9.757,    -0.549,     0.122,    -0.122,     0.576,    0.9987,   -0.0195,   -0.0388,   -0.0263,    -2.120,    -4.499,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.068,    184176,     0.019,     0.010,    -0.043,     0.048,     0.627,    -1.278,     9.652,     9.756,    -0.549,     0.122,    -0.122,     0.576,    0.9987,   -0.0195,   -0.0388,   -0.0263,    -2.120,    -4.499,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.072,    184180,     0.005,     0.010,    -0.043,     0.044,     0.627,    -1.278,     9.652,     9.756,    -0.671,     0.183,    -0.122,     0.707,    0.9987,   -0.0195,   -0.0388,   -0.0263,    -2.120,    -4.499,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.078,    184184,    -0.005,     0.010,    -0.038,     0.040,     0.613,    -1.278,     9.656,     9.760,    -0.671,     0.305,    -0.122,     0.748,    0.9987,   -0.0195,   -0.0388,   -0.0263,    -2.126,    -4.499,    -2.928,     0.000,     0.000,     0.000,         0, idle,
11:43:09.080,    184188,    -0.010,     0.014,    -0.033,     0.038,     0.608,    -1.273,     9.661,     9.764,    -0.549,     0.305,    -0.061,     0.631,    0.9987,   -0.0196,   -0.0388,   -0.0263,    -2.126,    -4.499,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.087,    184192,    -0.010,     0.010,    -0.038,     0.041,     0.608,    -1.278,     9.656,     9.760,    -0.488,     0.183,     0.000,     0.521,    0.9987,   -0.0196,   -0.0387,   -0.0263,    -2.131,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.089,    184196,    -0.010,     0.010,    -0.038,     0.041,     0.603,    -1.278,     9.656,     9.759,    -0.549,     0.183,     0.000,     0.579,    0.9987,   -0.0196,   -0.0387,   -0.0263,    -2.131,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.092,    184200,    -0.014,     0.010,    -0.038,     0.042,     0.603,    -1.278,     9.656,     9.759,    -0.549,     0.183,     0.000,     0.579,    0.9987,   -0.0196,   -0.0387,   -0.0263,    -2.131,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.096,    184204,    -0.005,     0.010,    -0.043,     0.044,     0.613,    -1.278,     9.652,     9.755,    -0.610,     0.061,     0.000,     0.613,    0.9987,   -0.0196,   -0.0387,   -0.0263,    -2.137,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.096,    184208,     0.000,     0.005,    -0.048,     0.048,     0.617,    -1.282,     9.647,     9.751,    -0.671,     0.000,    -0.061,     0.674,    0.9987,   -0.0197,   -0.0387,   -0.0263,    -2.142,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.104,    184212,     0.000,     0.000,    -0.048,     0.048,     0.617,    -1.287,     9.642,     9.747,    -0.610,     0.122,    -0.122,     0.634,    0.9987,   -0.0197,   -0.0387,   -0.0263,    -2.142,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.104,    184216,     0.000,     0.000,    -0.053,     0.053,     0.622,    -1.287,     9.637,     9.743,    -0.732,     0.244,    -0.183,     0.793,    0.9987,   -0.0197,   -0.0387,   -0.0263,    -2.142,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.112,    184220,     0.000,     0.005,    -0.057,     0.058,     0.622,    -1.287,     9.637,     9.743,    -0.732,     0.244,    -0.183,     0.793,    0.9987,   -0.0197,   -0.0387,   -0.0263,    -2.148,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
11:43:09.112,    184224,     0.005,     0.000,    -0.062,     0.062,     0.627,    -1.292,     9.633,     9.739,    -0.671,     0.183,    -0.305,     0.760,    0.9987,   -0.0197,   -0.0387,   -0.0263,    -2.148,    -4.493,    -2.933,     0.000,     0.000,     0.000,         0, idle,
