        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
11:45:55.032,    350126,    -0.081,     0.158,     0.010,     0.178,     0.713,    -1.192,     9.690,     9.789,    -0.488,     1.099,    -0.977,     1.549,    -2.115,   -27.191,   -11.028,    29.418,     31.27,   991.567,   182.103,    0.9962,   -0.0181,   -0.0499,    0.0690,    -2.472,    -5.570,     8.047,     0.000,     0.000,     0.000,         0, idle,    -0.100,     0.144,    -0.014,     0.176, 2500,  01
11:45:55.056,    350159,    -0.191,     0.187,     0.005,     0.267,     0.598,    -1.153,     9.685,     9.772,     0.000,     1.282,    -0.671,     1.447,    -1.964,   -27.191,   -10.876,    29.352,     31.27,   991.567,   182.103,    0.9962,   -0.0181,   -0.0495,    0.0687,    -2.466,    -5.515,     8.004,     0.000,     0.000,     0.000,         0, idle,    -0.215,     0.158,    -0.033,     0.269, 2504,  01
11:45:55.092,    350192,    -0.124,     0.158,     0.019,     0.202,     0.656,    -1.182,     9.700,     9.793,     0.122,     1.343,     1.526,     2.036,    -2.115,   -27.191,   -11.028,    29.418,     31.27,   991.566,   182.108,    0.9962,   -0.0179,   -0.0489,    0.0689,    -2.444,    -5.444,     8.026,     0.000,     0.000,     0.000,         0, idle,    -0.144,     0.139,    -0.010,     0.200, 2501,  01
11:45:55.128,    350225,     0.019,     0.177,    -0.038,     0.182,     0.794,    -1.158,     9.637,     9.739,     0.122,     1.404,    -0.122,     1.414,    -1.813,   -27.040,   -10.876,    29.202,     31.27,   991.566,   182.108,    0.9962,   -0.0178,   -0.0485,    0.0690,    -2.428,    -5.400,     8.036,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.172,    -0.062,     0.183, 2507,  01
11:45:55.168,    350258,    -0.053,     0.158,    -0.110,     0.200,     0.713,    -1.172,     9.570,     9.668,     0.183,     0.854,     0.549,     1.032,    -2.115,   -27.040,   -11.028,    29.279,     31.27,   991.566,   182.108,    0.9963,   -0.0176,   -0.0481,    0.0689,    -2.406,    -5.361,     8.031,     0.000,     0.000,     0.000,         0, idle,    -0.057,     0.134,    -0.134,     0.198, 2501,  01
11:45:55.189,    350291,     0.038,     0.144,    -0.067,     0.163,     0.813,    -1.192,     9.613,     9.721,     0.122,     0.244,     0.122,     0.299,    -2.115,   -26.889,   -10.876,    29.082,     31.27,   991.566,   182.118,    0.9963,   -0.0175,   -0.0479,    0.0691,    -2.390,    -5.339,     8.042,     0.000,     0.000,     0.000,         0, idle,     0.029,     0.139,    -0.081,     0.163, 2500,  01
11:45:55.231,    350324,    -0.005,     0.187,     0.010,     0.187,     0.756,    -1.139,     9.695,     9.791,    -0.183,    -0.427,     0.000,     0.465,    -1.813,   -27.191,   -10.876,    29.342,     31.27,   991.565,   182.123,    0.9963,   -0.0174,   -0.0480,    0.0691,    -2.373,    -5.350,     8.042,     0.000,     0.000,     0.000,         0, idle,    -0.029,     0.187,    -0.010,     0.189, 2503,  01
11:45:55.263,    350357,    -0.048,     0.158,     0.000,     0.165,     0.718,    -1.168,     9.685,     9.782,    -0.549,    -1.099,     1.892,     2.256,    -1.813,   -27.191,   -11.179,    29.455,     31.27,   991.564,   182.132,    0.9962,   -0.0173,   -0.0482,    0.0695,    -2.368,    -5.372,     8.086,     0.000,     0.000,     0.000,         0, idle,    -0.067,     0.148,    -0.019,     0.164, 2507,  01
11:45:55.295,    350390,     0.033,     0.148,     0.096,     0.180,     0.809,    -1.177,     9.781,     9.885,    -0.549,    -1.099,     0.732,     1.430,    -1.964,   -27.040,   -11.028,    29.268,     31.28,   991.563,   182.137,    0.9962,   -0.0173,   -0.0485,    0.0699,    -2.373,    -5.405,     8.135,     0.000,     0.000,     0.000,         0, idle,     0.005,     0.163,     0.077,     0.180, 2504,  01
11:45:55.319,    350423,     0.100,     0.191,     0.019,     0.217,     0.880,    -1.134,     9.700,     9.805,    -1.221,    -0.366,    -2.502,     2.808,    -1.964,   -27.040,   -11.028,    29.268,     31.28,   991.563,   182.137,    0.9962,   -0.0173,   -0.0488,    0.0696,    -2.379,    -5.444,     8.102,     0.000,     0.000,     0.000,         0, idle,     0.072,     0.206,     0.000,     0.218, 2527,  01
11:45:55.363,    350456,    -0.153,     0.191,     0.057,     0.252,     0.608,    -1.134,     9.747,     9.832,    -1.465,    -1.282,    -0.793,     2.102,    -1.813,   -27.040,   -11.179,    29.316,     31.28,   991.563,   182.137,    0.9962,   -0.0175,   -0.0491,    0.0689,    -2.395,    -5.471,     8.031,     0.000,     0.000,     0.000,         0, idle,    -0.182,     0.172,     0.014,     0.251, 2486,  01
11:45:55.391,    350489,    -0.053,     0.172,    -0.010,     0.180,     0.737,    -1.163,     9.666,     9.764,    -1.282,    -2.014,     1.892,     3.046,    -1.813,   -27.040,   -11.028,    29.258,     31.28,   991.563,   182.137,    0.9962,   -0.0177,   -0.0495,    0.0693,    -2.428,    -5.510,     8.075,     0.000,     0.000,     0.000,         0, idle,    -0.072,     0.158,    -0.038,     0.178, 2492,  01
11:45:55.429,    350522,    -0.091,     0.167,     0.029,     0.193,     0.713,    -1.172,     9.700,     9.796,    -1.099,    -2.747,    -0.183,     2.964,    -1.813,   -26.889,   -11.028,    29.119,     31.28,   991.565,   182.123,    0.9961,   -0.0179,   -0.0502,    0.0695,    -2.455,    -5.592,     8.102,     0.000,     0.000,     0.000,         0, idle,    -0.072,     0.163,     0.000,     0.178, 2497,  01
11:45:55.459,    350555,    -0.177,     0.187,     0.005,     0.257,     0.636,    -1.153,     9.680,     9.770,    -0.610,    -1.953,     1.038,     2.294,    -1.813,   -26.889,   -11.028,    29.119,     31.28,   991.566,   182.116,    0.9961,   -0.0180,   -0.0507,    0.0697,    -2.466,    -5.647,     8.124,     0.000,     0.000,     0.000,         0, idle,    -0.201,     0.163,    -0.033,     0.261, 2498,  01
11:45:55.487,    350588,    -0.148,     0.211,     0.024,     0.259,     0.670,    -1.134,     9.700,     9.789,    -1.099,    -1.221,     0.427,     1.697,    -2.266,   -26.889,   -11.028,    29.151,     31.28,   991.567,   182.100,    0.9961,   -0.0181,   -0.0510,    0.0700,    -2.483,    -5.685,     8.163,     0.000,     0.000,     0.000,         0, idle,    -0.177,     0.187,    -0.014,     0.258, 2498,  01
